인기 페이지,클릭수,노출,CTR,게재 순위
https://movecostinfo.com/,1,24,4.17%,2.25
https://movecostinfo.com/RentVerdict/,0,19,0%,4.32
https://movecostinfo.com/RentVerdict/verdict/new-york-ny,0,18,0%,18.72
https://movecostinfo.com/RentVerdict/about,0,17,0%,5
https://movecostinfo.com/RentVerdict/verdict/miami-fl,0,16,0%,5.56
https://movecostinfo.com/RentVerdict/methodology,0,11,0%,5.91
https://movecostinfo.com/RentVerdict/cities,0,9,0%,6.78
https://movecostinfo.com/RentVerdict/verdict/seattle-wa,0,8,0%,7
https://movecostinfo.com/RentVerdict/verdict/austin-tx,0,8,0%,7.62
https://movecostinfo.com/RentVerdict/verdict/los-angeles-ca,0,8,0%,9.12
https://movecostinfo.com/RentVerdict/verdict/chandler-az,0,7,0%,11.29
https://movecostinfo.com/RentVerdict/verdict/wichita-ks,0,6,0%,9.17
https://movecostinfo.com/RentVerdict/guide/rent-affordability-rule,0,6,0%,13.17
https://movecostinfo.com/RentVerdict/verdict/phoenix-az,0,5,0%,6.8
https://movecostinfo.com/RentVerdict/verdict/boise-id,0,3,0%,24
https://movecostinfo.com/RentVerdict/verdict/indianapolis-in,0,1,0%,1
